name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Mentari Anakku (Klinik Psikologi dan Pusat Terapi Anak),Child psychologist,"Mentari Anakku (Klinik Psikologi dan Pusat Terapi Anak), Kav. 258, Jl. H. Adam Malik Jl. Komp. Kemlu, RT.007/RW.8, Cipadu Jaya, Larangan, Tangerang City, Banten 15155, Indonesia",http://www.mentarianakku.com/,+62 21 73882115,5,114,"106,7448259","-6,2493888"
LPT Solusi Banten,Psychologist,"LPT Solusi Banten, Perum Taman Mutiara Indah Blok B6 No. 17, RT.001/RW.016, Kaligandu, Kec. Serang, Kota Serang, Banten 42116, Indonesia",https://lptsolusibanten.com/,+62 853-1148-7755,5,22,"106,1742371","-6,1001043"
Yayasan Praktek Psikolog Indonesia Cabang Tangsel,Psychotherapist,"Yayasan Praktek Psikolog Indonesia Cabang Tangsel, Jl. Utama Puri Bintaro Hijau Kel No.6 Blok C1, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15424, Indonesia",http://www.praktekpsikolog.com/,+62 21 27563512,"4,8",78,"106,7084556","-6,2552112"
Psikolog Ririn (B15/24),Psychologist,"Psikolog Ririn (B15/24), Perumahan Banten Indah Permai Blok B15/24, Unyur, Kota Serang, Banten 42111, Indonesia",,+62 877-8235-4678,"4,9",25,"106,1693641","-6,0940512"
Caring & Hope Psikologi,Psychologist,"Caring & Hope Psikologi, Komplek Ruko Graha Ona, Jl. Siliwangi Jl. Pasir Ona No.6 Blok B, East Rangkasbitung, Rangkasbitung, Lebak Regency, Banten 42311, Indonesia",,+62 812-1974-4255,5,3,"106,2619368","-6,3720347"
Melly Suwarna Play Therapy and Depth Psychotherapy,Psychologist,"Melly Suwarna Play Therapy and Depth Psychotherapy, Latinos Business District C9/16, BSD City, Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia",http://www.mellysuwarna.com/,+62 859-2170-2407,5,17,"106,6798931","-6,3203135"
Yayasan Praktek Psikolog Indonesia,Psychologist,"Yayasan Praktek Psikolog Indonesia, Gedung Bintaro Bussiness Centre, Jl. RC. Veteran Raya No.1-I, RT.1/RW.3, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia",http://www.praktekpsikolog.com/,+62 21 7362639,"4,7",182,"106,764778","-6,272109"
Nous Consulting Indonesia (Konsultan Psikologi Tangerang),Psychologist,"Nous Consulting Indonesia (Konsultan Psikologi Tangerang), Metropolis Town Square Ruko GM7 No.12, Jl. Hartono Raya, RT.003/RW.006, Klp. Indah, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia",http://www.nous-id.com/,+62 815-1642-909,5,6,"106,6361998","-6,1972863"
Five Psikologi | Biro Konsultasi Psikologi Tangerang Selatan,Psychologist,"Five Psikologi | Biro Konsultasi Psikologi Tangerang Selatan, Jl. Lurah Disah Kholam Residence No.1, Pisangan Timur, Ciputat Timur, South Tangerang City, Banten 15412, Indonesia",https://fivepsikologi.com/,+62 819-0814-3555,5,29,"106,7535352","-6,321643"
Psikolog & Terapi Fideya,Psychologist,"Psikolog & Terapi Fideya, Blok B3.19A Jalan Kalimantan, Kompleks Jl. Komp. Villa Bintaro Indah, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414, Indonesia",http://www.fideya.my.id/,+62 819-0896-0073,5,32,"106,7039734","-6,2940484"
Smart Mind Center Consulting Alam Sutera,Psychologist,"Smart Mind Center Consulting Alam Sutera, Jl. Alam Sutera Town Center, Jl. Alam Sutera Boulevard No.35 Blok C10, Pakulonan, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15325, Indonesia",http://www.smartmindcenterconsulting.com/,+62 877-8165-8181,"4,9",76,"106,6539153","-6,242621"
Psikolog Industri dan Organisasi (Konsultan MSDM / HRD) BQND Consulting,Psychologist,"Psikolog Industri dan Organisasi (Konsultan MSDM / HRD) BQND Consulting, Permata Tangerang, Blk. FA, Gelam Jaya, Pasar Kemis, Tangerang Regency, Banten 15560, Indonesia",https://sites.google.com/view/pthumanpersonaindonesia/,+62 895-2777-8999,5,31,"106,5729771","-6,1616063"
BIRO KONSULTASI PSIKOLOGI PESONA,Psychologist,"BIRO KONSULTASI PSIKOLOGI PESONA, Sindangsari, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560, Indonesia",,+62 813-8252-1938,5,7,"106,5366078","-6,1443483"
Kayross Psikologi,Psychologist,"Kayross Psikologi, Alam Sutera, Cluster Harmoni, Jl. Sutera Harmoni Utama No.15, Pd. Jagung, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15326, Indonesia",http://www.kayrossconsulting.com/,+62 21 5398931,"4,9",149,"106,6598708","-6,2543513"
Yayasan Praktek Psikolog Indonesia Cabang Ciledug-Pondok Aren,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Ciledug-Pondok Aren, Blok B7 No.18, Jl. Utama Puri Bintaro Hijau Jl. Arjuna 4, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224, Indonesia",http://www.praktekpsikolog.com/,+62 812-1249-3404,5,2,"106,7093437","-6,2559788"
Grahita Indonesia Serang,Psychologist,"Grahita Indonesia Serang, Jl. Grand Sutera Serang No.39 Blok A4, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124, Indonesia",http://grahita.org/,+62 877-7149-8115,"4,3",7,"106,2046068","-6,1108353"
Salvia Biro Psikologi & Therapy Center,Psychologist,"Salvia Biro Psikologi & Therapy Center, Jl. Salvia 2 No.52 Blok UA, Rw. Buntu, Kec. Serpong, Kota Tangerang Selatan, Banten 15318, Indonesia",https://www.anakpelangicenter.com/,+62 812-8875-0162,5,29,"106,6794407","-6,3014148"
Grahita Indonesia Kabupaten Tangerang,Psychologist,"Grahita Indonesia Kabupaten Tangerang, Jl. Mandala Raya No 20. Perum Pondok Dewata, Munjul, Kec. Tigaraksa, Kabupaten Tangerang, Banten 15730, Indonesia",https://grahitakbtangerang.com/,+62 877-7177-7056,5,3,"106,4620257","-6,279367"
NIDO - Development Center & Psychology Services (Griya Loka),Psychologist,"NIDO - Development Center & Psychology Services (Griya Loka), Jalan Suplir Blok F1 No.20, RT04, RW.02, Lengkong Gudang Tim., Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia",https://www.nidopsikologi.com/,+62 898-9174-422,"4,8",16,"106,6796746","-6,299596"
Biro Psikologi Esensia Psychology Consultant,Psychologist,"Biro Psikologi Esensia Psychology Consultant, Jl. Bukit Baja Griya Komplek BBS 3 Blok B3 No.1A, Ciwaduk, Kec. Cilegon, Kota Cilegon, Banten 42415, Indonesia",,+62 821-3810-5551,5,41,"106,0433658","-6,0283798"
Yayasan Keluarga Biro Konsultasi Psikologi Nuansa,Psychologist,"RJ77+764 Yayasan Keluarga Biro Konsultasi Psikologi Nuansa, Jl. Proklamasi, RT.004/RW.009, Cimone, Kec. Karawaci, Kota Tangerang, Banten 15114, Indonesia",https://nuansaconsulting.com/,+62 812-8453-550,5,3,"106,6130864","-6,1868714"
Siti Bahiyah Psikolog Klinis,Psychologist,"Siti Bahiyah Psikolog Klinis, Jl. H. Rain I No.96, RT.003/RW.005, Ketapang, Cipondoh, Tangerang City, Banten 15147, Indonesia",https://psikologbahiyah.carrd.co/,+62 821-1154-7973,5,17,"106,6966746","-6,183429"
Kinderhütte,Psychologist,"Kinderhütte, Serpong Garden 1, Green Park No.C08/09, Kec. Cisauk, Kabupaten Tangerang, Banten 15341, Indonesia",https://kinderhuette.com/,+62 812-1111-6907,"4,8",24,"106,6381197","-6,336723"
Psikotes Tangerang Grahita Indonesia,Child psychologist,"Psikotes Tangerang Grahita Indonesia, Jl. Villa Tomang Baru j1 No.16, Kuta Jaya, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560, Indonesia",https://www.instagram.com/grahita.tangerang/,+62 877-7184-1345,5,1,"106,5859927","-6,1597016"
Cahaya Psikologi Indonesia,Psychologist,"Cahaya Psikologi Indonesia, Jl. Poksay No.A5 No.2, East Pamulang, Pamulang, South Tangerang City, Banten 15417, Indonesia",,+62 822-9890-0600,"4,4",7,"106,7478118","-6,3422191"
Lingkar Psikologi (Konseling Corner),Mental health service,"Lingkar Psikologi (Konseling Corner), Jl. BSD Raya Utama, Pagedangan, Tangerang Regency, Banten 15345, Indonesia",https://instagram.com/psycircle.id?igshid=MzRlODBiNWFlZA==,+62 895-0417-3418,"4,5",8,"106,6428081","-6,3045312"
Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional,Psychologist,"Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional, IDX Tower 1, Jl. Jenderal Sudirman No.304 Level 3, Senayan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia",https://www.bicarakan.id/,+62 819-1000-9224,"4,8",152,"106,7999714","-6,2285654"
Ohana Space - Psychology Space,Psychologist,"Ohana Space - Psychology Space, Green Lake City, Rukan CBD Blok M Nomor 18A, RT.10/RW.11, Ketapang, Kec. Cipondoh, Kota Tangerang, Banten 15147, Indonesia",https://ohanaspace.id/,+62 21 31112920,"4,9",35,"106,698302","-6,1839033"
INSAN-Q Psychological Services,Corporate office,"INSAN-Q Psychological Services, Ruko Bonakarta A30, 42414, Masigit, Jombang, Cilegon, Banten 42414, Indonesia",https://insanq.co.id/,+62 254 386720,"4,8",68,"106,0506781","-6,0105842"
rumah hamka psikologi klinik tumbuh kembang anak,Specialized clinic,"rumah hamka psikologi klinik tumbuh kembang anak, Jalan Professor Doktor Hamka, Jl. Caplin 1 Gg. Bakti II No.1. No.38, RT.003/RW.011, Larangan Utara, Kec. Larangan, Kota Tangerang, Banten 15154, Indonesia",,+62 812-9421-0368,5,8,"106,7289541","-6,2354568"
Grahita Indonesia Produksi,Psychologist,"Grahita Indonesia Produksi, Jl. Bugel Mas Indah No.02 blok D9, RT.004/RW.006, Bugel, Kec. Karawaci, Kota Tangerang, Banten 15114, Indonesia",https://grahita.org/tentang-kami/,+62 21 5517190,5,6,"106,6064595","-6,1763348"
FATHAN COUNSELING,Psychopedagogy clinic,"FATHAN COUNSELING, Link.Tegal Cabe No.99, RT.004/RW.002, Citangkil, Kec. Citangkil, Kota Cilegon, Banten 42441, Indonesia",,+62 878-6279-7754,5,146,"106,0407766","-6,0207936"
Praktek Psikolog Maria Ulfah M.Psi,Psychologist,"VPF4+62W Praktek Psikolog Maria Ulfah M.Psi, Jl. Raya Citra Garden 3, RT.3/RW.13, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",http://www.balitaceria.com/,+62 813-8264-5791,5,68,"106,705074","-6,126898"
Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat,Psychologist,"Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat, Ruko Bumi Permata Indah, Blok RI 38B, Karang Mulya, Karang Tengah, Jakarta, Banten 15157, Indonesia",https://www.bicarakan.id/,+62 819-1000-9224,5,149,"106,7243363","-6,1931055"
Psikologi Hubungan,Psychologist,"X578+2X9 Psikologi Hubungan, Gg. Swaztika, Banten, Kasemen, Serang City, Banten 42191, Indonesia",http://jeinspirate.blogspot.com/,+62 878-0818-2009,5,2,"106,167476","-6,0374713"
Optimax Potential,Psychologist,"Optimax Potential, Jl. Kapten Piere Tendean, Masigit, Jombang, Cilegon, Banten, Indonesia",,+62 859-4515-7373,"4,9",54,"106,0609407","-6,00895"
"Praktek Psikolog; Hedz Psikologi: Pusat Psikotes, Terapi, Training, dan Konsultasi Psikolog",Mental health service,"Praktek Psikolog; Hedz Psikologi: Pusat Psikotes, Terapi, Training, dan Konsultasi Psikolog, Gapura Office:, Jl. RS. Fatmawati Raya No.Blok A18, RT.4/RW.4, West Cilandak, Cilandak, South Jakarta City, Jakarta 12430, Indonesia",,+62 851-7965-6671,"4,9",17,"106,7944245","-6,297434"
Rumah Psikolog,Psychologist,"Rumah Psikolog, Jl. Plamboyan Blok D/KH No.25, RT.4/RW.4, Sawah Lama, Ciputat, South Tangerang City, Banten 15413, Indonesia",,,5,2,"106,7395528","-6,2948348"
Konsultasi Psikolog Rumah Dandelion,Psychologist,"Konsultasi Psikolog Rumah Dandelion, Jl. Taman Wijaya Kusuma No.4 Blok E, RT.8/RW.4, Pondok Labu, Cilandak, South Jakarta City, Jakarta 12450, Indonesia",http://www.rumahdandelion.com/,+62 812-8489-1683,"4,7",49,"106,802205","-6,3024928"
Jejak kaki - Pusat Pengembangan Psikologi,Psychologist,"Jejak kaki - Pusat Pengembangan Psikologi, Jl. Bintaro Permai II No.24 3, RT.3/RW.9, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia",,+62 878-7729-1530,"4,9",27,"106,763931","-6,2598324"
Rumah Konseling,Psychologist,"Rumah Konseling, Jl. H. Saidin No.17, Bambu Apus, Pamulang, South Tangerang City, Banten 15415, Indonesia",http://facebook.com/rumahkonseling,+62 21 7491577,"4,5",12,"106,7379629","-6,3295141"
SAHABAT ILMU Pusat Terapi Tumbuh Kembang Anak dan Psikologi,Child psychologist,"SAHABAT ILMU Pusat Terapi Tumbuh Kembang Anak dan Psikologi, Jl. Suka Damai No.100C, Serua, Ciputat, South Tangerang City, Banten 15412, Indonesia",https://linktr.ee/rumahsahabatilmu?fbclid=PAY2xjawIRKwpleHRuA2FlbQIxMQABptvF3tF_UK_4ty1OurGY9nwBb74qz_Z0qbnCFhnKwGOkIEdffIDGf65eKg_aem_zFe-ZvB_9N7nhfODJYoFCg,+62 813-2374-8400,5,8,"106,7259783","-6,3108453"
Praktek Psikolog Cabang Kembangan,Psychologist,"Praktek Psikolog Cabang Kembangan, Infiniti Office, Permata Regency, Jl. H. Kelik No.1 D/37, RT.1/RW.6, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",http://www.praktekpsikolog.com/,+62 812-1249-3404,5,3,"106,7641806","-6,2084958"
Ibunda.id,Psychologist,"Ibunda.id, Blok Rini No, Jl. Ampera Raya No.12A, RT.6/RW.2, Ragunan, Kec. Ps. MingguJakarta, South Jakarta City, Jakarta 12540, Indonesia",https://www.ibunda.id/,+62 819-1523-7935,"4,9",2238,"106,8192751","-6,289764"
ASA Tumbuh Bersama,Child psychologist,"ASA Tumbuh Bersama, Jl. Bintaro Utama 3A, Pondok Karya, Pondok Aren, South Tangerang City, Banten 15221, Indonesia",https://www.asatumbuhbersama.com/,+62 822-1147-7624,5,16,"106,7439914","-6,2732458"
Insight Psikologi [BSD] | Psikolog | Terapi Tumbuh Kembang Anak | Tes IQ & Minat Bakat,Psychologist,"Insight Psikologi [BSD] | Psikolog | Terapi Tumbuh Kembang Anak | Tes IQ & Minat Bakat, Northridge Bussiness Centre, Jl. BSD Raya Utama No.B2 No. 18, Lengkong Kulon, Serpong Sub-District, South Tangerang City, Banten 15310, Indonesia",https://insightpsikologi.com/,,5,17,"106,6356052","-6,277013"
